player_id;family_name;given_name;goal_keeper;defender;midfielder;forward;count_tournaments
P-01170;Ambrois;Javier;0;0;0;1;1
P-07583;Ambrose;Efe;0;1;0;0;1
P-06476;Ambrosi;Pal;0;1;0;0;1
P-01360;Ameen;Mohammed;0;0;1;0;1
P-01317;Amelia;Marco;1;0;0;0;1
P-02877;Ameobi;Shola;0;0;0;1;1
P-03524;Amerhauser;Martin;0;0;1;0;1
P-01241;Amrico;not applicable;1;0;0;0;1
P-04448;Amzcua;Efran;0;0;1;0;1
P-06309;Amiri;Vahid;0;0;1;0;1
P-09312;Amor;Guillermo;0;0;1;0;1
P-05620;Amrabat;Nordin;0;0;1;0;1
P-00460;Amrabat;Sofyan;0;0;1;0;1
P-06569;Amrhein;Tom;0;0;1;0;1
P-01128;Amundsen;Roald;0;1;0;0;1
P-06735;Amunike;Emmanuel;0;0;1;0;1
P-02972;Amzine;Gharib;0;0;1;0;1
P-07196;An;Chol-hyok;0;0;0;1;1
P-04396;An;Ik-soo;0;1;0;0;1
P-04100;An;Qi;1;0;0;0;1
P-09301;An;Se-bok;0;0;1;0;1
P-07604;An;Yong-hak;0;0;1;0;1
P-03727;Anastasi;Pietro;0;0;0;1;1
P-00471;Ancheta;Atilio;0;1;0;0;1
P-00042;Andem;William;1;0;0;0;1
P-07817;Andersen;Henrik;0;1;0;0;1
P-08849;Andersen;Oddmund;0;1;0;0;1
P-02325;Andersen;Stephan;1;0;0;0;1
P-07896;Anderson;John;1;0;0;0;1
P-01264;Anderson;Stan;0;0;1;0;1
P-02720;Andersson;ke;0;0;0;1;1
P-07850;Andersson;Andreas;0;0;0;1;1
P-04857;Andersson;Bjrn;0;1;0;0;1
P-02904;Andersson;Ernst;0;0;1;0;1
P-02236;Andersson;Harry;0;0;0;1;1
P-08602;Andersson;Kennet;0;0;0;1;1
P-09403;Andersson;Magnus;0;1;0;0;1
P-02072;Andersson;Otto;0;1;0;0;1
P-00066;Andersson;Roland;0;1;0;0;1
P-09257;Andersson;Roy;0;1;0;0;1
P-06904;Andersson;Sune;0;0;1;0;1
P-03392;Andersson;Sven;0;1;0;0;1
P-01306;Andersson;Sven;1;0;0;0;1
P-05508;Anderton;Darren;0;0;1;0;1
P-08276;Andoire;Numa;0;1;0;0;1
P-08775;Andone;Ioan;0;1;0;0;1
P-05101;Andonov;Ivaylo;0;0;0;1;1
P-03817;Andrade;Jorge;0;1;0;0;1
P-01536;Andrade;Jos Leandro;0;0;1;0;1
P-04460;Andr;Antnio;0;0;1;0;1
P-01434;Andr;Fritz;0;1;0;0;1
P-05963;Andreassen;Gunnar;0;0;1;0;1
P-09615;Andreolo;Michele;0;0;1;0;1
P-07737;Andresen;Hjalmar;0;0;0;1;1
P-02858;Andrews;Marvin;0;1;0;0;1
P-06617;Andreyev;Sergey;0;0;0;1;1
P-04665;Andrina;Genar;0;1;0;0;1
P-00540;Andrusch;Jzsef;1;0;0;0;1
P-08486;Anelka;Nicolas;0;0;0;1;1
P-05126;Angibeaud;Didier;0;0;1;0;1
P-01884;Angoua;Benjamin;0;1;0;0;1
P-06501;Ankovi;Andrija;0;0;0;1;1
P-06707;Annan;Anthony;0;0;1;0;1
P-06628;Annis;Robert;0;1;0;0;1
P-02276;Annovazzi;Carlo;0;1;0;0;1
P-08269;Anoul;Lopold;0;0;0;1;1
P-04222;Ansaldi;Cristian;0;1;0;0;1
P-08997;Anselmo;Peregrino;0;0;0;1;1
P-09223;Antoine;Eddy;0;0;1;0;1
P-02139;Antonelius;Tomas;0;1;0;0;1
P-03259;Antnio;Jos;0;1;0;0;1
P-04277;Antnez;Francisco;0;1;0;0;1
P-03121;Anwar;Sutan;0;0;1;0;1
P-05128;Anzolin;Roberto;1;0;0;0;1
P-00192;Aogo;Dennis;0;1;0;0;1
P-09303;Aoudou;Ibrahim;0;1;0;0;1
P-06589;Aoyama;Toshihiro;0;0;1;0;1
P-02792;Aparicio;Alberto;0;0;1;0;1
P-09672;Aparicio;Ernesto;0;0;0;1;1
P-02246;Apolloni;Luigi;0;1;0;0;1
P-07368;Aponte;Carlos;0;1;0;0;1
P-06896;Apostolakis;Stratos;0;1;0;0;1
P-09911;Apostolov;Vidin;0;1;0;0;1
P-00802;Apukhtin;German;0;0;0;1;1
P-04685;Aquilani;Alberto;0;0;1;0;1
P-05121;Aquino;Pedro;0;0;1;0;1
P-07645;Aquino;Silvio;0;0;1;0;1
P-05796;Arabov;Nikolay;0;1;0;0;1
P-01450;Araken;not applicable;0;0;0;1;1
P-01784;Arnguiz;Charles;0;0;1;0;1
P-02266;Aranzbal;Agustn;0;1;0;0;1
P-04893;Aroz;Duberty;0;0;1;0;1
P-02469;Araquistin;Jos;1;0;0;0;1
P-08118;Araujo;Miguel;0;1;0;0;1
P-00375;Araya;Pedro;0;0;0;1;1
P-09705;Arbeloa;lvaro;0;1;0;0;1
P-03976;Arcari;Pietro;0;0;0;1;1
P-09068;Arellano;Guillermo;0;0;0;1;1
P-02382;Arellano;Ral;0;0;0;1;1
P-07480;Arendse;Andre;1;0;0;0;1
P-06190;Areola;Alphonse;1;0;0;0;1
P-07625;Arvalo;Edelmiro;0;1;0;0;1
P-05230;Argemiro;not applicable;0;0;1;0;1
P-08381;Argote;Juan;0;0;1;0;1
P-09464;Arias;Antonio;0;1;0;0;1
P-08907;Arias;Jairo;0;0;0;1;1
P-08711;Arias;Joaqun;0;0;1;0;1
P-06277;Ariel;not applicable;0;0;1;0;1
P-01553;Arizaga;Oscar;0;0;1;0;1
P-02526;Armandinho;not applicable;0;0;0;1;1
P-04586;Armani;Franco;1;0;0;0;1
P-00507;Armbruster;Kurt;0;1;0;0;1
P-02817;Armero;Pablo;0;1;0;0;1
P-06841;Armstrong;Desmond;0;1;0;0;1
P-09779;Armstrong;Ken;0;0;1;0;1
P-04793;rnason;Kri;0;1;0;0;1
P-05669;Arnesen;Frank;0;0;1;0;1
P-01960;Aros;Mauricio;0;1;0;0;1
P-07829;Arraya;Vicente;1;0;0;0;1
P-03581;Arricio;Juan;0;0;1;0;1
P-06754;Arrizabalaga;Kepa;1;0;0;0;1
P-06577;Arroyo;Abdiel;0;0;0;1;1
P-03900;Arroyo;Michael;0;0;1;0;1
P-02220;Arsenijevi;Milorad;0;0;1;0;1
P-08750;Artelesa;Marcel;0;1;0;0;1
P-04225;Artime;Luis;0;0;0;1;1
P-00968;Artner;Peter;0;1;0;0;1
P-01161;Arzani;Daniel;0;0;0;1;1
P-05615;Arz;Julio Csar;1;0;0;0;1
P-06770;Asanovi;Aljoa;0;0;1;0;1
P-07448;Asatiani;Kakhi;0;0;1;0;1
P-03972;Asencio;Nicols;0;0;0;1;1
P-02795;Asensi;Juan Manuel;0;0;1;0;1
P-07007;Asensi;Vicente;0;1;0;0;1
P-02781;Asensio;Marco;0;0;1;0;1
